job_id,date_posted,source,company,title,category,raw_category,seniority,location,job_type,skills,tags_raw,salary_min_usd,salary_max_usd,salary_mid_usd,demand_index,scarcity_score,time_to_fill_days_proxy,application_volume_proxy,source_url,description_preview
raw-0001,2026-04-28,Remotive API,Bulldog Digital Media,Operations software assistant,Data & AI,Operations,Unspecified,"Europe, European timezones",freelance,Security; SEO; AI; AI/ML; Content Strategy,security; seo; AI/ML,60245.0,84105.0,72379.0,56.9,61.6,43.9,116,https://remotive.com/remote-jobs/operations/operations-software-assistant-2090000,"Operations software assistant Bulldog is a UK agency helping marketing and SEO teams increase their visibility on Google and AI through link building and digital PR. We're a team of 12, with expertise in SEO, content, li"
raw-0002,2026-04-24,Remotive API,Lemon.io,Head of Engineering,Data & AI,Software Development,Senior/Lead,"USA timezones, European timezones",full_time,AI; Startup; Marketplace; Fundraising; AI/ML; Roadmapping,AI/ML; startup; marketplace; fundraising,101657.0,149268.0,121574.0,49.4,65.3,47.4,87,https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995,"About Lemon.io Lemon.io is a profitable, growing talent marketplace that connects vetted senior engineers with companies that need them. We’ve been in business for 10 years, have 60 people across Ukraine, Europe, Canada,"
raw-0003,2026-04-24,Remotive API,EverAI,Mid/Senior AI Video Artist,Data & AI,Marketing,Senior/Lead,Worldwide,full_time,Excel; Video Editing; AI; Customer Acquisition; Advertising; Paid Marketing; After Effects; Editing; User Acquisition; Motion Design; Design; AI/ML,excel; video; AI/ML; customer acquisition; advertising; paid marketing; video ads; after effects; editing; video editing; user acquisition; motion design; insurance,94156.0,143656.0,118327.0,47.1,53.6,40.2,101,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994,"Our Vision & Products 🚀 EverAI — Building the Future of AI Companionship One of the Top 15 Largest & Fastest-Growing AI Companies in the World 50 Million Users in 2 years — Help Us Reach 100M first, 500M next At EverAI ,"
raw-0004,2026-04-21,Remotive API,TELUS Digital,Content Reviewer - US,Data & AI,All others,Unspecified,USA,part_time,Android; Go; iOS; Social Media; AI; AI/ML; Machine Learning; Content Strategy,android; go; ios; social media; AI/ML; diversity,63604.0,93207.0,80052.0,48.4,55.9,39.9,132,https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990,"Looking for a freelance opportunity where you can make an impact on technology from the comfort of your home? If you are dynamic, tech-savvy, and always online to learn more, this part-time flexible project is the perfec"
raw-0005,2026-04-21,Remotive API,Dry Ground AI,AI Engineer,Data & AI,Artificial Intelligence,Unspecified,"Brazil, Colombia, Philippines",full_time,API; Cloud; Full Stack; Python; AI; Automation; Research; TensorFlow; Spark; NLP; CMS; PyTorch,api; cloud; fullstack; python; AI/ML; automation; research; CI/CD; TensorFlow; spark; NLP; CMS; Pytorch; REST,66370.0,97143.0,79281.0,49.8,83.1,52.0,90,https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958,We are seeking a versatile and highly skilled AI Engineer to join our fast-growing Full-Stack AI Solutions company. This role blends the expertise of building cutting-edge AI/ML models with the practical know-how of auto
raw-0006,2026-04-16,Remotive API,AutoHDR,Customer Retention Manager,Data & AI,Customer Service,Senior/Lead,USA,full_time,AI; Editing; Startup; AI/ML,AI/ML; editing; startup,97710.0,139430.0,118548.0,50.1,52.3,40.5,124,https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656,"Role: Customer Success Representative AutoHDR is the fastest growing AI startup in real estate media. We train custom image editing models for real estate, and are currently editing 25% of all US real estate listings! Jo"
raw-0007,2026-04-16,Remotive API,AutoHDR,Customer Support Representative,Data & AI,Customer Service,Unspecified,USA,full_time,SaaS; AI; Editing; Technical Support; Onboarding; AI/ML; Sales; Risk Management,saas; AI/ML; editing; technical support; onboarding; responsive,69340.0,97696.0,83801.0,48.9,43.2,32.6,133,https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655,Company Description AutoHDR is an AI real estate photo editing platform. We launched less than a year ago and already edit 25% of U.S. real estate listings. We’re building a category-defining product and looking for peop
raw-0008,2026-04-16,Remotive API,A.Team,Senior Independent AI Engineer / Architect,Data & AI,Software Development,Senior/Lead,"Americas, Europe, Israel",contract,Go; UX Research; WordPress; Chat Support; Testing; UI/UX; Design; AI/ML; NLP; AI; HR,go; UI/UX; wordpress; chat; apple; testing; catalyst,104526.0,154935.0,126576.0,46.2,57.6,46.6,101,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,"Location: Americas, Europe, or Israel The Opportunity Join A.Team’s invite-only network of senior builders and access exclusive missions with Fortune 500s and top startups. This isn’t client work or employment—it’s a vet"
raw-0009,2026-04-16,Remotive API,A.Team,Senior Independent Software Developer,Software & Engineering,Software Development,Senior/Lead,"Americas, Europe, Israel",contract,Go; WordPress; Chat Support; Testing; HR,go; wordpress; chat; apple; testing; catalyst,96164.0,144858.0,118181.0,43.8,56.1,46.0,91,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,"You must be located in the Americas, Europe, or Israel to apply. A·Team is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth com"
raw-0010,2026-04-15,Remotive API,Lemon.io,Senior Full-stack React Developer,Data & AI,Software Development,Senior/Lead,"Americas, Europe, Asia, Oceania",contract,.NET; Android; AWS; Azure; Backend; C#; C++; Data Science; Full Stack; Go; iOS; Java,.Net; android; AWS; azure; backend; C; C#; C++; data science; fullstack; golang; ios; java; javascript; node.js; php; python; react; react js; ruby/rails; shopify; video; blockchain; AI/ML; react native; rust; unity; spring; data analysis; laravel; solidity; flask; Typescript ; angular ; GCP; data engineering; Symfony; startup; marketplace; next.js,103316.0,154391.0,127730.0,41.6,81.2,49.4,98,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711,Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Look no further than Lemon.io — the marketplace that connects you with hand-picked startups in the 
